Class,Requirement
BSW,BSW Modules shall support link-time configuration
BSW,BSW Modules shall support post-build configuration
BSW,BSW Modules shall support multiple configuration sets
BSW,BSW Modules shall support pre-compile configuration
BSW,All modules of the AUTOSAR Basic Software shall support a tool based configuration
BSW,All AUTOSAR Basic Software Modules shall provide configuration rules and constraints to enable plausibility checks
BSW,Optional functionality of a Basic-SW component that is not required in the ECU shall be configurable at pre-compile-time
BSW,"The AUTOSAR SW Components shall provide information about their dependency from faults, signal qualities, driver demands"
BSW,Configuration parameters being stored in memory shall be placed into separate c-files
BSW,If a pre-compile time configuration parameter is implemented as “const“ it should be placed into a separate c-file
BSW,The pre-compile time parameters shall be placed into a separate configuration header file
BSW,References to c-configuration parameters shall be placed into a separate h-file
BSW,The Basic Software Module specifications shall specify which other configuration files from other modules they use at least in the description
BSW,The Basic Software Module specifications shall specify at least in the description which other modules they require
BSW,Containers shall be used to group configuration parameters that are defined for the same object
BSW,Containers shall have names
BSW,Parameter content shall be unique within the module
BSW,Parameters shall have a type
BSW,Parameters shall have a range
BSW,The Basic Software Module specifications shall specify the scope of the configuration parameters
BSW,The Basic Software Module specifications shall list all configuration parameter dependencies
BSW,The Basic Software Module specifications shall specify the supported configuration classes for changing values and multiplicities for each parameter/container
BSW,The Basic Software Module specifications shall specify for each parameter/container whether it supports different values or multiplicity in different configuration sets
BSW,The configuration parameters in pre-compile time are fixed before compilation starts
BSW,The link-time configuration is achieved on object code basis in the stage after compiling and before linking
BSW,Parameter-sets shall be located in a separate segment and shall be loaded after the code
BSW,Parameter shall be selected from multiple sets of parameters after code has been loaded and started
BSW,Configuration data shall be defined in a structure
BSW,Each module shall provide version information
BSW,Basic Software Modules shall report wake-up reasons
BSW,The Basic Software Module shall be able to initialize variables and hardware in a separate initialization function
BSW,The sequence of modules to be initialized shall be configurable
BSW,A static status variable denoting if a BSW module is initialized shall be initialized with value 0 before any APIs of the BSW module is called
BSW,The init / deinit services shall only be called by BswM or EcuM
BSW,Memory mapping shall provide the possibility to define RAM segments which are not to be initialized during startup
BSW,SW components shall be tested by a function defined in a common API in the Basis-SW
BSW,Each BSW module shall provide a function to read out the version information of a dedicated module implementation
BSW,BSW modules with AUTOSAR interfaces shall be describable with the means of the SW-C Template
BSW,BSW module main processing functions shall not be allowed to enter a wait state
BSW,The BSW module description template shall provide means to model the defined trigger conditions of schedulable objects
BSW,BSW Modules shall ensure data consistency of data which is shared between BSW modules
BSW,ISR functions shall be defined and documented in the BSW module description template
BSW,A BSW module shall state if its main processing function(s) has to be executed in a specific order or sequence
BSW,Access to OS is restricted
BSW,Modules should have separate main processing functions for read/receive and write/transmit data path
BSW,Main processing functions are only allowed to be called from task bodies provided by the BSW Scheduler
BSW,A Main function of a un-initialized module shall return immediately
BSW,Modules called by generic modules shall satisfy all interfaces requested by the generic module
BSW,Hardware registers shall be protected if concurrent access to these registers occur
BSW,Basic Software Modules which require a periodic main function shall allow to configure the period time between ] 0 .. INF[ seconds.
BSW,Basic SW module shall be able to shutdown
BSW,All AUTOSAR Basic Software Modules shall not return specific development error codes via the API
BSW,Reporting of production relevant error statu
BSW,Pre-de-bouncing of error status information is done within the DEM
BSW,Software which is not part of the SW-C shall report error events only after the DEM is fully operational.
BSW,All AUTOSAR Basic Software Modules shall check passed API parameters for validity
BSW,All Basic SW Modules shall perform a pre-processor check of the versions of all imported include files
BSW,All production code error ID symbols are defined by the Dem module and shall be retrieved by the other BSW modules from Dem configuration
BSW,"The BSW shall document all production errors, extended production errors, development errors and runtime errors which are supported by the BSW module."
BSW,The BSW shall specify the configuration for detecting an error. This configuration shall describe criteria and limits how the error is detected and possibly reset. This is applicable for production code errors as well as for development errors.
BSW,"The detection of production errors and extended production errors shall distinguish between fault detection, failure free detection, and undecided state. Only detected faults and explicitly failure free detected states shall be reported."
BSW,"Production errors shall be able to heal, if a problem no longer persists."
BSW,"State information are detected either by the change of the state or when checked (event-based or cyclic). Checks shall be executed as often as possible, at least once per related monitoring cycle (e.g. OBD driving cycle for emission relevant systems), or as often as required by applicable regulations, to the extend feasible."
BSW,"Some production errors detect the same root cause as failure. To avoid duplicate error reports to the garage, detection of one error shall be disabled in case of the the other error, by a appropriate configuration of the FiM. Hence, the production error shall only be enabled when a permission is granted."
RTE,The RTE generator shall provide an API to indicate to the RTE that a partition needs to be restarted. This API should restore an initial RTE environment for the partition and re-activate communication with this partition.
RTE,The RTE generator shall provide an API to indicate to the RTE that a partition will be terminated or restarted.
RTE,"When two SWCs communicate, if one SWC is on a terminated partition (i.e., a partition being restarted), it should behave for the initiating SWC as if it was mapped on a shutdown remote ECU (i.e., an ECU being restarted). The RTE may provide the feedback with a timeout error immediately."
RTE,"When a partition is terminated or restarting, the RTE shall ensure that RTE Events will not activate Runnable Entities of the terminated or restarting OS-Application. The RTE may use OS means to implement this requirement."
RTE,The RTE Generator shall create exactly one software module header file to be explicitly included in each C/C++ application or basic software component type that defines that component’s RTE API. There may be a hierarchy of include files implicitly included.
RTE,"On multi-core systems, the APIs to enter and exit exclusive areas shall ensure that not two entities may run inside the same exclusive area at any one time, neither by preemption nor by parallel execution of multiple entities on different cores."
RTE,The RTE shall provide an API to read a system constant value. This API shall be usable for the C-preprocessor code or the C-compiler code.
RTE,The RTE shall support the generation of an API to retrieve the transmission acknowledgement in an implicit communication.
RTE,"For explicit sender-receiver communication, when configured, the RTE generator shall provide an API returning the value of a primitive Data Element directly in the C-language return statement of the API."
RTE,"The SW-C and basic software module source codes shall be independent from the actual calibration method (data emulation with SW or HW support) chosen for the needed calibration parameters. To abstract from the different access methods to calibration parameters, the RTE and SchM shall provide an API."
RTE,The RTE Generator shall support generating an RTE with unconnected R-Ports. The strict checking of unconnected R-Ports shall be supported via configuration as well.
RTE,"The RTE generator shall provide null API calls for data elements or operations for ports where more elements/operations are provided than required. The API for an unconnected provided data element or operation shall discard the input parameters and return ""no error""."
RTE,The RTE API shall support independent access to data items (sender-receiver interface) or operations (client-server interface).
RTE,"The RTE shall communicate application-level errors on the same path as structural errors of the communication stack. Additionally, the RTE shall receive error information from the server operation’s return value."
RTE,The RTE shall pass the application error ID together with the communication reply from the server to the client. The RTE shall only pass the application error if no structural error is present.
RTE,"The RTE shall handle errors related to communication or resources. Specifically, the RTE is required to handle communication errors (e.g., message transmission failed) and resource errors (e.g., network not available), and to notify the relevant software component through the RTE API."
RTE,The RTE generator shall support Transmission Acknowledgement for outgoing communication.
RTE,"The RTE shall support the invalidation of Data Elements. It shall provide an API to invalidate a Data Element and to query if a Data Element has been invalidated. Additionally, notification upon the reception of an invalid Data Element shall be supported."
RTE,"The RTE shall support the notification of time-outs on cyclically received signals/signal-groups via COM. Deadline monitoring has to be enabled for these signals, and the callback has to be configured in COM. This is only applicable for sender-receiver communication with info-type ""data""."
RTE,"The RTE generator shall support the FILTER attribute. If specified, the attribute value shall specify the filter type used. Additionally, the RTE generator shall support different filter specifications for each data item in an AUTOSAR interface. Furthermore, the RTE generator shall ensure that value-based filtering is available for all receivers whether communication occurs via COM or is handled by the RTE."
RTE,"The RTE generator shall support the CLIENT_MODE attribute with the values ""synchronous"" and ""asynchronous"". Additionally, the RTE generator shall support different client mode specifications for each operation in an AUTOSAR interface."
RTE,"The RTE generator shall support the BUFFERING attribute with the values ""last_is_best"" (sender/receiver only), ""queue"", and ""no"" (client/server only). Additionally, the RTE generator shall support different buffering specifications for each data item in an AUTOSAR interface. Note that queues may be implemented by either the RTE or by COM."
RTE,"The RTE generator shall support the RECEIVE_MODE attribute with the values ""data_read_access"", ""wake_up_of_wait_point"", and ""activation_of_runnable_entity"". Additionally, the RTE generator shall support different receive modes for each data item in an AUTOSAR interface."
RTE,"The RTE generator shall support the INIT_VALUE attribute for both intra-ECU and inter-ECU communication (though the latter is expected to require no direct support if AUTOSAR COM is used). If an initial value is specified for a receiver and not as sender (or vice versa), the RTE generator shall apply the same initial value to both sender and receiver. If an initial value is specified for both sender and receiver, the RTE generator shall use the specifications for the receiver."
RTE,"The RTE generator shall support the INFORMATION_TYPE attribute with values ""data"" and ""event"". Additionally, the RTE generator shall support different information types for each data item in an AUTOSAR interface. Furthermore, the RTE generator shall raise a configuration-time error if the specification of INFORMATION_TYPE is inconsistent for sender and receiver."
RTE,The RTE generator shall generate an API in the application header file through which the Runnable Entities of a component instance can access their per-instance memory for reading and writing.
RTE,The RTE shall provide an API to access the data consistency mechanism(s).
RTE,"The RTE API shall pass 'in/out' and ""out"" formal parameters by reference."
RTE,"The RTE API shall pass all input parameters that are composite data types (i.e., a record or an array) or strings by reference."
RTE,An API input parameter that is a primitive data type (with the exception of a string) shall be passed by value.
RTE,"For parameters which are typed by an AUTOSAR data type, the RTE API shall either use data types related to the whole AUTOSAR data type or data types related to the used BaseType. The kind of API is defined in the SWC-Description and is part of the contract phase input."
RTE,The RTE API (for a particular programming language) shall be compiler and platform independent.
RTE,The RTE shall support the execution of initialization runnable entities as part of the startup sequence controlled by the Bsw Manager and delay the start of timing events until the end of the startup sequence.
RTE,The RTE generator shall respect the invocation order of Runnable Entities as specified in the input information.
RTE,The 'trace' builds of the RTE generator shall support the tracing of client-server communication. The RTE should provide means for the tracing of transported signals of client-server communication. It should be possible to trace both intra-ECU and inter-ECU communication.
RTE,The 'trace' builds of the RTE generator shall support tracing of sender-receiver signals on the VFB (Virtual Function Bus). The RTE should provide means for the tracing of transported signals of sender-receiver communication. It should be possible to trace both intra-ECU and inter-ECU communication.
RTE,The RTE Generator shall be able to support multiple trace clients for the same trace event.
RTE,"If the RTE is configured for tracing communication across the VFB (Virtual Function Bus), it shall be possible to detail the configuration of the RTE for what has to be logged and traced."
RTE,"In the 'trace' build, the RTE implementations shall provide a standardized interface to make data values and events available to VFB tracing tools. Additionally, when in the 'trace' build, the RTE generator inserts hook calls at interesting points (e.g., API invocation, interactions with COM, task start, RunnableEntity start, etc.)."
RTE,"If the RTE provides means for tracing which cost additional RAM and/or ROM and/or runtime in the ECU, it shall be possible to switch these features off statically during RTE generation."
RTE,The RTE shall provide size indications of variable-size arrays to SWCs.
RTE,"The RTE shall execute data transformation for SWC/BSW communication for Senders, Receivers, and Sender/Receiver intra-ECU communication."
RTE,The RTE shall provide transformation errors to the SWC to enable them to react accordingly to errors.
RTE,The RTE shall provide the buffer for the data transformation.
RTE,"The RTE shall execute transformer chains for SWC communication for Senders, Receivers, Servers, and Clients of Sender/Receiver and Client/Server inter-ECU communication."
